,LR,LR,LR,LR,DT,DT,DT,DT,SGDRegressor,SGDRegressor,SGDRegressor,SGDRegressor,KernelRidge,KernelRidge,KernelRidge,KernelRidge,XGB,XGB,XGB,XGB
,RMSE,RMSLE,R2_score,MAPE,RMSE,RMSLE,R2_score,MAPE,RMSE,RMSLE,R2_score,MAPE,RMSE,RMSLE,R2_score,MAPE,RMSE,RMSLE,R2_score,MAPE
base,884.2771565742985,1.8337620033724007,0.8356759795699229,45.91783113396461,1128.629367501267,0.5320071664576776,0.7323132141196443,57.20426391534493,908.5838050285621,1.9387157780485453,0.8265180788604357,48.34304263107892,1445.303946703849,4.309520926968346,0.5610221399035202,80.92111564691741,984.8149211870871,0.45603722086529486,0.7961862498453373,43.29346291297682
base_2123,906.6061352505819,1.9099132189441745,0.837519937337931,47.589440016364264,1182.4420401804348,0.5469079584302613,0.7236098926014731,58.89255676641796,911.3384276893383,2.0252790723954877,0.8358192871921948,49.596985072831146,1466.9790608213088,4.255736053015791,0.5745871537015155,80.6117470292787,1028.46323371581,0.5391176325718692,0.790906606025418,44.9045608993563
t-1 t+1,842.0333382334325,1.8029589796173435,0.8510011854300956,45.412374065161366,1096.5570322038852,0.5004371415256315,0.7473107952621569,49.459509776614475,890.9155140106376,1.9756923864065157,0.8331995249798261,49.37642735190511,1430.5755954761773,4.318147390525907,0.5699233502395868,81.39500108747826,995.5881066319729,0.4622659521614124,0.7917027004661398,41.27099106980349
waterlevel t-1 t+1,885.9642339907698,1.7923389219635981,0.8350483668416483,45.98905971861049,1155.1359710617228,0.5465677201961413,0.719591963759176,53.80449536306248,940.8271713809678,2.020013256593627,0.8139867234194199,49.946141478998356,1453.2798233277758,4.324782921930463,0.5561637929815403,81.17784031053777,1047.3098407032667,0.4687676705278613,0.7694980475551427,45.37827095908659
3 cluster,884.9310210054762,1.6985656523232477,0.835432876249171,45.79297486381452,1129.314570581732,0.5480416874656565,0.7319880843761836,60.4014087475653,914.6112557572809,1.752002566495684,0.8242087220231471,48.815280474261144,1429.9866857144125,4.277252183548929,0.5702773674706522,80.49354096817518,1001.2850399220279,0.48995644445332853,0.7893120512800303,47.59808119906743
4 cluster,888.9145752134677,1.6654705521489814,0.8339479298232763,45.439211202522685,1147.7410118590337,0.5366694549542488,0.7231707088173094,58.299094720564156,878.9845460653412,1.7927275973427617,0.8376371301899467,47.838750433483234,1435.7404286982123,4.300047359593786,0.5668123172692103,80.74681091702585,1000.7052332366226,0.46453231857584587,0.7895559836423229,47.61617632758097
5 cluster,889.014447431559,1.7029690165911595,0.8339106148311273,46.460198122694216,1113.7817241842681,0.5536775833277421,0.7393099744678931,61.73987227635145,907.9178040139373,1.8234615335885367,0.8267723136138794,48.983910977369824,1438.7065580003703,4.304722241479685,0.5650206035359576,80.87269680135456,1003.9238941759946,0.5241298433227414,0.7882000653932794,47.84390887287137
6 cluster,889.014447431546,1.7029690165911522,0.8339106148311322,46.460198122692006,1137.2755187920068,0.5557629830738626,0.7281961394243404,61.65174586464659,866.4795730262173,1.855281236978642,0.8422240159644748,49.7167340105407,1438.7065579939112,4.304722241478368,0.5650206035398633,80.87269680131638,1003.9238941759946,0.5241298433227414,0.7882000653932794,47.84390887287137
log,1442.5864852355082,1.6332374748512708,0.5626713209940328,91.81504306747567,1126.588801533577,0.5271520732387449,0.7332802964334245,56.85547621102738,1634.4662321209105,1.5653047019119721,0.4385951697209822,109.688774376334,2021.0595972164635,3.842284677068139,0.14161428755733807,79.40509877514262,985.5943857853578,0.45683828458138226,0.7958634917936348,43.41225579395178
