,LR,LR,LR,LR,DT,DT,DT,DT,SGDRegressor,SGDRegressor,SGDRegressor,SGDRegressor,KernelRidge,KernelRidge,KernelRidge,KernelRidge,XGB,XGB,XGB,XGB,DNN,DNN,DNN,DNN
,RMSE,RMSLE,R2_score,MAPE,RMSE,RMSLE,R2_score,MAPE,RMSE,RMSLE,R2_score,MAPE,RMSE,RMSLE,R2_score,MAPE,RMSE,RMSLE,R2_score,MAPE,RMSE,RMSLE,R2_score,MAPE
base,884.2771083680358,1.833762660375927,0.8356759974861309,45.91824852577886,1122.253852051012,0.5259794033294327,0.7353289444640722,56.30144050078576,933.3191228008792,1.931018078494024,0.816943747099506,51.26524162218422,1445.305173057552,4.309505831103133,0.5610213949496939,80.92103233887813,984.9037312073532,0.4568415704987705,0.7961494885838095,43.331850437862535,509.7467392038466,0.4488484335211063,0.945394906822036,24.216498543123897
base_2123,906.782206581006,1.910245931627876,0.8374985213477131,47.60460329486659,1214.9933632505831,0.5513093954850993,0.7082578700468889,59.39581065873097,917.9683925506628,2.0011059022249147,0.8334645121127655,50.07816794801845,1467.429675226781,4.255539023583002,0.5744349706336486,80.61106200746758,1032.4776910292385,0.5348450496040991,0.7893251511159639,47.99452224607417,490.8489703703029,0.4726084517893907,0.9523846362201486,26.59600457505153
t-1 t+1,842.2222541283572,1.808338067039821,0.8509343201392721,45.47334727695741,1110.154045353278,0.5040111568470884,0.7410053866939647,49.964521054611815,891.0365893630006,1.9288878837229408,0.8331541855548228,49.02170684732671,1430.4688032252482,4.317676904139312,0.5699875581561127,81.39049529022773,973.4059073177816,0.4556757725190262,0.8008812327316538,42.81364417898549,465.1188923446464,0.3356066578962633,0.9545376165970862,21.168190171562667
waterlevel t-1 t+1,885.954102907815,1.7924830071778184,0.8350521392944408,45.98738193860976,1104.8846371128418,0.524419356075476,0.7434582164217179,50.88163328082685,879.4267261236005,1.9234431794010376,0.8374737332753471,49.52448863985319,1453.2411699144516,4.324719621308976,0.5561874024144016,81.17730056082596,1028.0274544227411,0.6323842022267124,0.7779076159943277,50.626253952603705,532.7621601419717,0.441223948624317,0.9403526735579276,23.265247261324543
3 cluster,884.9305700131313,1.6985667405906504,0.8354330439876554,45.79211682568423,1119.072967572892,0.5380059823802533,0.7368271704474723,58.84208427652033,890.2941434534066,1.9692364414882508,0.8334321143978394,50.261033259675656,1429.98642841608,4.277238898927164,0.5702775221111225,80.49328082060778,1001.6096112521392,0.4900158670588128,0.7891754381311086,47.65366864467828,524.7358310113848,0.6338450442298861,0.9421363692175776,26.285863133093457
4 cluster,888.8776273562555,1.6653602902690907,0.8339617334909022,45.419490003154806,1118.7417747473266,0.5279372611467115,0.7369829208905461,57.0873804604676,839.1371676682801,1.874001524512625,0.8520243845017444,48.4996011499616,1435.6982327150126,4.299995032191337,0.5668377794087637,80.74570342411982,1001.9670347898402,0.4621500904466821,0.7890249461533247,47.00758973355845,468.0612352068465,0.5412419381180298,0.9539606070486748,24.75818316027041
5 cluster,889.0170249841323,1.7029654631807567,0.8339096517314971,46.46159318985784,1098.2773478156196,0.5419943562899364,0.7465173186601768,60.02161606012884,881.0178868830832,1.9586784159107968,0.8368850785079718,50.76357705595499,1438.707201372439,4.304713777013176,0.5650202145008829,80.8724695689346,1004.4909235293308,0.5204263049727724,0.7879607430765777,47.18916403199159,500.4122173577129,0.5818377194410903,0.9473764613843452,25.03528980916242
6 cluster,889.0170249841216,1.7029654631807414,0.8339096517315012,46.46159318985582,1135.6484423796658,0.5553457090226532,0.728973311335984,61.494056385292126,915.3862497575816,1.850324106945828,0.8239106830365691,49.60668252091317,1438.707201366313,4.30471377701334,0.5650202145045871,80.87246956892726,1004.4909235293308,0.5204263049727724,0.7879607430765777,47.18916403199159,500.876104327486,0.4143210804532346,0.9472788511030212,23.13140708919292
log,1442.5851107783756,1.6332383614820942,0.5626721543433564,91.81203598613465,1120.1956689783624,0.5211341837566683,0.7362988533038363,55.97086529527162,1628.8049767217544,1.6674051536858,0.4424774792423878,97.62305412424516,2021.0595044895065,3.8421877676080474,0.1416143663234402,79.40471580845019,985.6945445002722,0.4577171389927307,0.7958219998989672,43.46125986272456,613.7907908820746,0.7005222299173792,0.920829210437691,43.3515123592857
